event_code,event_name,event_title
DIV,Cash Dividend,A32 - Pay cash dividend 2023 - Interim 1 at VND 1000/share
DIV,Cash Dividend,A32 - Pay cash dividend 2022 - Interim 2 at VND 2000/share
AGME,Annual General Meeting,A32 - Holds 2023 AGM
DIV,Cash Dividend,A32 - Pay cash dividend 2022 - Interim 1 at VND 1000/share
DIV,Cash Dividend,A32 - Pay cash dividend 2021 - Interim 2 at VND 2700/share
DIV,Cash Dividend,"A32 - Pays Interim 1, 2021 cash dividend at VND1000/share"
DIV,Cash Dividend,"A32 - Pays Interim 2, 2020 cash dividend at VND700/share"
DIV,Cash Dividend,"A32 - Pays Interim 1, 2020 cash dividend at VND1500/share"
DIV,Cash Dividend,"A32 - Pays Interim 2, 2019 cash dividend at VND700/share"
DIV,Cash Dividend,"A32 - Pays Interim 1, 2019 cash dividend at VND1500/share"
DIV,Cash Dividend,"A32 - Pays Interim 2, 2018 cash dividend at VND700/share"
AGME,Annual General Meeting,A32 - Holds 2019 AGM
DIV,Cash Dividend,"A32 - Pays Interim 1, 2018 cash dividend at VND1500/share"
NLIS,New listing,A32 - Officially registers shares on UPCOM
AGME,Annual General Meeting,AAA - Holds 2023 AGM
AIS,Additional Listing,"AAA- Lists additional 55,840,000 shares"
AGME,Annual General Meeting,AAA - Holds 2022 AGM
EGME,Extraordinary General Meeting,AAA - Holds extra-ordinary shareholders' meeting in 2022
AIS,Additional Listing,"AAA - Lists additional 29,674,522 shares"
DIV,Cash Dividend,"AAA - Pays Year, 2020 cash dividend at VND500/share"
ISS,Share Issue,AAA - Issues bonus shares at 10:1
AIS,Additional Listing,AAA - Lists additional 358 shares
AGME,Annual General Meeting,AAA - Holds 2021 AGM
EGME,Extraordinary General Meeting,AAA - Holds extra-ordinary shareholders' meeting
AIS,Additional Listing,"AAA - Lists additional 10,559,998 shares"
ISS,Share Issue,AAA- Issues dividend shares at 5%
DIV,Cash Dividend,"AAA - Pays Interim 2, 2019 cash dividend at VND500/share"
AIS,Additional Listing,"AAA- Lists additional 40,000,000 shares"
AGME,Annual General Meeting,AAA - Holds 2020 AGM
DIV,Cash Dividend,"AAA - Pays Interim 1, 2019 cash dividend at VND500/share"
AMEN,Name Change,AAA - Changed its name as An Phat Bioplastic Joint Stock Company
AGME,Annual General Meeting,AAA - Holds 2019 AGM
AIS,Additional Listing,AAA -  Lists 4.000.000 additional shares
AIS,Additional Listing,AAA - Lists additional 83.599.988 shares
ISS,Share Issue,AAA-Issues additonal shares for existing shareholders at 1:1
BOME,BOD Meeting,"AAA-BoD's resolution dated March 21, 2018"
BCHA,Key Personnel Change,"AAA-Key personnel change from March 01, 2018"
BOME,BOD Meeting,"AAA-BoD's resolution dated February 09, 2018"
AGMR,AGM Resolution,AAA-2018 AGM's resolution
BOME,BOD Meeting,"AAA-BoD's resolution dated Februarry 08, 2018"
BOME,BOD Meeting,"AAA-BoD's resolution dated January 25, 2018"
AIS,Additional Listing,"AAA-Lists 24,350,000 addtional shares"
AGME,Annual General Meeting,AAA-Holds 2018 AGM
DIV,Cash Dividend,"AAA-Pays Interim 2, 2017 cash dividend at VND1500/share"
BOME,BOD Meeting,"AAA-BoD's resolution dated December 19, 2017"
BOME,BOD Meeting,"AAA-BoD's resolution dated November 13, 2017"
BOME,BOD Meeting,"AAA-BoD's resolution dated November 06, 2017"
BOME,BOD Meeting,"AAA-BoD's resolution dated October 23, 2017"
BOME,BOD Meeting,"AAA-BoD's resolution dated October 04, 2017"
DIV,Cash Dividend,"AAA - Pays Interim 1, 2017 cash dividend at VND500/share"
AIS,Additional Listing,"AAA - Lists 585,000 additional shares"
AIS,Additional Listing,"AAA-Lists 1,700,000 additional shares"
BOME,BOD Meeting,"AAA-BoD's resolution dated July 12, 2017"
BOME,BOD Meeting,"AAA-BoD's resolution dated June 29, 2017"
BOME,BOD Meeting,"AAA-BoD's resolution dated June 09, 2017"
BOME,BOD Meeting,"AAA-BoD's resolution dated June 08, 2017"
BOME,BOD Meeting,"AAA-BoD's resolution dated May 29, 2017"
BOME,BOD Meeting,"AAA-BoD's resolution dated May 12, 2017"
OTHE,Other events,AAA-Raises the rate of limit foreign ownership from 32% to 51%
BOME,BOD Meeting,"AAA-BoD's resolution dated May 10, 2017"
BOME,BOD Meeting,"AAA-BoD's resolution dated April 19, 2017"
BOME,BOD Meeting,"AAA-BoD's resolution dated April 3, 2017"
BCHA,Key Personnel Change,"AAA-Key personnel changes from March 8, 2017"
DDIND,Director Deal: Individual transactions,AAA-Mr. Nguyen Xuan Ha was no longer as major shareholder
DIV,Cash Dividend,"AAA-Pays 2nd 2016 cash dividend at VND1,000/share"
AGMR,AGM Resolution,AAA- 2017 AGM's resolution
BOME,BOD Meeting,"AAA-BoD's resolution dated February 20, 2017"
BOME,BOD Meeting,"AAA-BoD's resolution dated January 23, 2017"
AIS,Additional Listing,"AAA-Lists 5,065,000 additional shares"
BOME,BOD Meeting,"AAA-BoD's resolution dated January 4, 2017"
AGME,Annual General Meeting,AAA-Holds 2017 AGM
BOME,BOD Meeting,"AAA-BoD's resolution dated December 27, 2016"
BOME,BOD Meeting,"AAA-BoD's resolution dated December 8, 2016"
DIV,Cash Dividend,"AAA-Pays 1st 2016 interim cash dividend at VND1,000/share"
MOVE,Exchange Switching,AAA-Officially lists on HOSE
BOME,BOD Meeting,"AAA-BoD's resolution dated November 8, 2016"
BOME,BOD Meeting,"AAA-BoD's resolution dated November 7, 2016"
SUSP,Listing Suspension,AAA-Delists shares on HNX
KQQY,Quarterly results,AAA-Q3/2016 financial statements (Holding company)
BOME,BOD Meeting,"AAA-BoD's resolution dated October 11, 2016"
BOME,BOD Meeting,"AAA-BoD's resolution dated September 15, 2016"
BOME,BOD Meeting,"AAA-BoD's resolution dated September 1, 2016"
KQQY,Quarterly results,AAA- H1/2016 financial statements (Holding company)
KQQY,Quarterly results,AAA-Q2/2016 consolidated financial statements
AIS,Additional Listing,"AAA-Lists 2,400,000 additional shares"
BOME,BOD Meeting,"AAA-BoD's resolution dated May 16, 2016"
BALLOT,Record date for ballot,AAA-Holds an shareholders' circular ballot
BOME,BOD Meeting,"AAA-BoD's resolution dated May 4, 2016"
KQQY,Quarterly results,AAA-Q1/2016 financial statements (Holding company)
BOME,BOD Meeting,"AAA-BoD's resolution dated April 25, 2016"
BOME,BOD Meeting,"AAA-BoD's resolution dated April 22, 2016"
KQQY,Quarterly results,AAA- Q1/2016 financial statements (Holding company)
BOME,BOD Meeting,"AAA-BoD's resolution dated April 5, 2016"
BOME,BOD Meeting,"AAA-BoD's resolution dated April 1, 2016"
BOME,BOD Meeting,AAA-Dismisses Mr. Nguyen Hoang Hoan from the position of deputy CEO 
DIV,Cash Dividend,AAA-Pays 2015 cash dividend at VND700/share
DDALL,Director Deal,"AAA-Mr. Pham Anh Duong, Chairman, bought 108,400 shares"
BCHA,Key Personnel Change,"AAA-The Control member changes from March 21, 2016"
BOME,BOD Meeting,AAA-BoD's resolution on paying 2015 cash dividend at VND700/share
DDALL,Director Deal,"AAA-Mr. Nguyen Le Trung, board member/CEO, registers to buy 100,000 shares "
KQCT,Final Annual Results,AAA-2015 financial statements
KQSB,Year Interim Result,AAA-2015 fiancial statements-Holding company
BOME,BOD Meeting,AAA-BoD's resolution on holding 2016 AGM
DDALL,Director Deal,"AAA- Mr. Pham Anh Duong, Chairman, registers to buy 300,000 shares"
KQQY,Quarterly results,AAA-Q4/2015 financial statements (Consolidated)
KQQY,Quarterly results,AAA- Q4/2015 financial statements (Holding company)
DDALL,Director Deal,"AAA- Mr. Pham Anh Duong, Chairman, registers to buy 1,000,000 shares"
DDALL,Director Deal,"AAA-Mr. Pham Hoang Viet, Board member/ Deputy CEO, registers to buy 750,000 shares"
AGME,Annual General Meeting,AAA-Holds 2016 AGM
BOME,BOD Meeting,"AAA-BoD's resolution dated January 12, 2016"
DDALL,Director Deal,"AAA-Mr. Pham Hoang Viet, Board member/ Deputy CEO, bought 750,000 shares "
BOME,BOD Meeting,"AAA-BoD's resolution dated November 25, 2015"
KQQY,Quarterly results,
BOME,BOD Meeting,
KQQY,Quarterly results,
OTHE,Other events,
KQQY,Quarterly results,
BOME,BOD Meeting,
KQQY,Quarterly results,
BOME,BOD Meeting,
AGMR,AGM Resolution,
BOME,BOD Meeting,
BOME,BOD Meeting,
KQQY,Quarterly results,
BOME,BOD Meeting,
KQCT,Final Annual Results,
KQSB,Year Interim Result,
KQQY,Quarterly results,
KQQY,Quarterly results,
KQQY,Quarterly results,
AIS,Additional Listing,
KQQY,Quarterly results,
BOME,BOD Meeting,
BOME,BOD Meeting,
KQQY,Quarterly results,
BOME,BOD Meeting,
KQQY,Quarterly results,
BOME,BOD Meeting,
BOME,BOD Meeting,
AGMR,AGM Resolution,
KQQY,Quarterly results,
BOME,BOD Meeting,
BOME,BOD Meeting,
AIS,Additional Listing,
KQQY,Quarterly results,
BOME,BOD Meeting,
BOME,BOD Meeting,
BOME,BOD Meeting,
BOME,BOD Meeting,
BOME,BOD Meeting,
BOME,BOD Meeting,
KQQY,Quarterly results,
BCHA,Key Personnel Change,
BOME,BOD Meeting,
BOME,BOD Meeting,
BCHA,Key Personnel Change,
KQQY,Quarterly results,
KQCT,Final Annual Results,
KQQY,Quarterly results,
KQQY,Quarterly results,
KQQY,Quarterly results,
EGME,Extraordinary General Meeting,
BOME,BOD Meeting,
KQQY,Quarterly results,
KQQY,Quarterly results,
KQQY,Quarterly results,
KQQY,Quarterly results,
BCHA,Key Personnel Change,
NLIS,New listing,
KQCT,Final Annual Results,AAH - Audited Financial Statement FY 2021
KQCT,Final Annual Results,AAH - Audited Financial Statement FY 2020
DIV,Cash Dividend,AAM - Pay cash dividend 2022 - Interim 1 at VND 700/share
AGME,Annual General Meeting,AAM - Holds 2023 AGM
AGME,Annual General Meeting,AAM - Holds 2022 AGM
AGME,Annual General Meeting,AAM - Holds 2021 AGM
DIV,Cash Dividend,"AAM - Pays Interim 2, 2019 cash dividend at VND500/share"
AGME,Annual General Meeting,AAM - Holds 2019 AGM
TS,Treasury Stocks,AAM - Sell treasury shares
DIV,Cash Dividend,"AAM - Pays Interim 1, 2019 cash dividend at VND500/share"
AIS,Additional Listing,"AAM - Lists 2,410,710 additional shares"
TS,Treasury Stocks,AAM - Buy treasury shares
ISS,Share Issue,AAM-Issues bonus shares at 30%
DIV,Cash Dividend,"AAM - Pays Interim 2, 2018 cash dividend at VND300/share"
AGME,Annual General Meeting,AAM-Holds AGM of 2018 fiscal year
TS,Treasury Stocks,AAM - Buy treasury shares
DIV,Cash Dividend,"AAM - Pays Interim 1, 2018 cash dividend at VND500/share"
AIS,Additional Listing,AAM - Decreases 2.700.139 listed shares
TS,Treasury Stocks,AAM - Sell treasury shares
AGME,Annual General Meeting,AAM-Holds fiscal year 2017 AGM
DIV,Cash Dividend,"AAM-Pays Interim 1, 2017 cash dividend at VND500/share"
BOME,BOD Meeting,"AAM-BoD's resolution dated January 29, 2018"
BOME,BOD Meeting,"AAM-BoD's resolution dated May 24, 2017"
AGMR,AGM Resolution,AAM- 2017 AGM's resolution
AGME,Annual General Meeting,AAM-Holds 2016 AGM
DIV,Cash Dividend,AAM-Pays 2016 interim cash dividend at VND500/share
BOME,BOD Meeting,"AAM-BoD's resolution dated December 21, 2016"
KQQY,Quarterly results,AAM-Q3/2016 financial statements
KQQY,Quarterly results,AAM- Q2/2016 financial statements
AGMR,AGM Resolution,AAM-2016 AGM's resolution
KQQY,Quarterly results,AAM-Q4/2015 financial statements
KQQY,Quarterly results,
AGMR,AGM Resolution,
BOME,BOD Meeting,
BCHA,Key Personnel Change,
AIS,Additional Listing,
BOME,BOD Meeting,
BOME,BOD Meeting,
EGME,Extraordinary General Meeting,
BOME,BOD Meeting,
BOME,BOD Meeting,
BCHA,Key Personnel Change,
TS,Treasury Stocks,
TS,Treasury Stocks,
BOME,BOD Meeting,
BOME,BOD Meeting,
BCHA,Key Personnel Change,
BOME,BOD Meeting,
TS,Treasury Stocks,
BOME,BOD Meeting,
TS,Treasury Stocks,
BOME,BOD Meeting,
BOME,BOD Meeting,
KQQY,Quarterly results,
BOME,BOD Meeting,
TS,Treasury Stocks,
BOME,BOD Meeting,
AIS,Additional Listing,"AAS - Registers additional 29,999,552 shares"
ISS,Share Issue,AAS - Issues dividend shares at 15%
AIS,Additional Listing,"AAS - Registers additional 119,999,969 shares"
ISS,Share Issue,"AAS - Issues additional shares for existing shareholders at 1 : 1 at VND 10,000/share"
AGME,Annual General Meeting,AAS - Holds 2023 AGM
AGME,Annual General Meeting,AAS - Holds 2022 AGM
AIS,Additional Listing,"AAS - Registers additional shares 49,000,000 shares"
NLIS,New listing,AAS- Officially registers shares on UPCoM
AGME,Annual General Meeting,AAV - Holds 2023 AGM
AIS,Additional Listing,"AAV- Lists additional 2,331,481 shares"
ISS,Share Issue,AAV - Issues dividend shares at 3.5%
AMEN,Name Change,AAV - Change company's name
AGME,Annual General Meeting,AAV - Holds 2022 AGM
KQCT,Final Annual Results,AAV - Audited Financial Statement FY 2021 (holding company)
KQQY,Quarterly results,AAV - Financial Statement Quarter 4/2021 (holding company)
AIS,Additional Listing,"AAV - Lists additional 30,000,000 shares"
AIS,Additional Listing,"AAV - Lists additional 4,781,184 shares"
ISS,Share Issue,AAV - Issues dividend shares at 100:15
DIV,Cash Dividend,"AAV - Pays Year, 2018 cash dividend at VND1000/share"
AIS,Additional Listing,"AAV - Niêm yết bổ sung 17,500,000 cổ phiếu"
AGME,Annual General Meeting,AAV - Holds 2019 AGM
ISS,Share Issue,"AAV-Issues shares for existing shareholders at 23:28 and VND10,000/share"
AIS,Additional Listing,AAV - Registers 1.874.996 additional shares
ISS,Share Issue,AAV-Issues dividend shares at 15%
EGME,Extraordinary General Meeting,AAV - Holds 2018 extra-ordinary shareholders' meeting
NLIS,New listing,AAV - Officially registers shares on HNX
AGME,Annual General Meeting,AAV-Holds 2018 AGM
DIV,Cash Dividend,ABC - Pay cash dividend 2022 - Year at VND 1500/share
EGME,Extraordinary General Meeting,ABC - Holds 2023 extra-ordinary shareholders meeting
AGME,Annual General Meeting,ABC - Holds 2023 AGM
KQCT,Final Annual Results,ABC - Audited Financial Statement FY 2021 (holding company)
KQQY,Quarterly results,ABC - Financial Statement Quarter 4/2021 (holding company)
KQQY,Quarterly results,ABC - Financial Statement Quarter 3/2021 (holding company)
KQQY,Quarterly results,ABC - Financial Statement Quarter 2/2021 (holding company)
KQQY,Quarterly results,ABC - Financial Statement Quarter 1/2021 (holding company)
KQCT,Final Annual Results,ABC - Audited Financial Statement FY 2020 (holding company)
KQQY,Quarterly results,ABC - Financial Statement Quarter 4/2020 (holding company)
KQQY,Quarterly results,ABC - Financial Statement Quarter 3/2020 (holding company)
EGME,Extraordinary General Meeting,ABC - Holds 2020 extra-ordinary shareholders' meeting
KQQY,Quarterly results,ABC - Financial Statement Quarter 2/2020 (holding company)
DIV,Cash Dividend,"ABC - Pays Year, 2019 cash dividend at VND1000/share"
AGME,Annual General Meeting,ABC - Holds 2020 AGM
DIV,Cash Dividend,"ABC - Pays Year, 2018 cash dividend at VND1000/share"
AGME,Annual General Meeting,ABC - Holds 2019 AGM
DIV,Cash Dividend,"ABC - Pays Year, 2016 cash dividend at VND19500/share"
AGMR,AGM Resolution,ABC-2017 AGM's resolution
BCHA,Key Personnel Change,"ABC-Appoints Ms. Duong Thi Thuong as Chief accountant from June 12, 2017"
BCHA,Key Personnel Change,"ABC-Appoints Ms. Duong Thi Thuong as Chief accountant from April 17, 2017"
AGME,Annual General Meeting,ABC-Holds 2017 AGM
KQQY,Quarterly results,ABC- Q4/2016 consolidated financial statements
KQQY,Quarterly results,ABC-Q4/2016 financial statements (Holding company)
KQQY,Quarterly results,ABC-Q3/2016 consolidated financial statements
KQQY,Quarterly results,ABC- H1/2016 financial statements (Holding company)
OTHE,Other events,ABC-Signs 2016 audit contract with AASC Auditing Firm Company Limited
NLIS,New listing,ABC-Officially registers shares on UPCoM
DIV,Cash Dividend,"VMGC (ABC)-Pays 2015 cash dividend at VND 4,000/share"
AGMR,AGM Resolution,ABC- 2016 AGM's resolution
AGME,Annual General Meeting,VMGC (ABC)-Holds 2016 AGM
BALLOT,Record date for ballot,ABC-Holds 2015 shareholders' circular ballot
AGMR,AGM Resolution,ABC- 2015 AGM's resolution
AGME,Annual General Meeting,ABC-Holds 2015 AGM
AGMR,AGM Resolution,ABC-2014 AGM's resolution
AGME,Annual General Meeting,ABC-Holds 2014 AGM
BCHA,Key Personnel Change,"ABC-Appoints Mr, Tran Binh Duong as CEO from May 2, 2014"
BOME,BOD Meeting,"ABC-BoD's resolution dated March 6, 2014"
DIV,Cash Dividend,"ABC-Pays 2012 cash dividend at VND2,500/share"
AGMR,AGM Resolution,ABC- 2013 AGM's resolution
AGME,Annual General Meeting,ABC-Holds 2013 AGM
BOME,BOD Meeting,"ABC-BoD's resolution dated December 19, 2012"
TS,Treasury Stocks,"ABC-Registers to repruchase 2,000 treasury shares"
ISS,Share Issue,ABC-Issues 2011 dividend shares at the rate of 1:1
AGME,Annual General Meeting,ABC-Holds 2012 AGM
DIV,Cash Dividend,"ABC-Pays 2011 interim cash dividend at VND5,000/share"
AGME,Annual General Meeting,ABC-Holds 2011 AGM
AGMR,AGM Resolution,ABC-2010 AGM's resolution
AGME,Annual General Meeting,ABC-Holds 2010 AGM
AGME,Annual General Meeting,ABC-Holds 2009 AGM
AGMR,AGM Resolution,ABC-2009 AGM's resolution
KQQY,Quarterly results,ABR - Financial Statement Quarter 3/2023 (holding company)
EGME,Extraordinary General Meeting,ABR - Holds 2023 extra-ordinary shareholders meeting
KQQY,Quarterly results,ABR - Audited Financial Statement Quarter 2/2023 (holding company)
KQQY,Quarterly results,ABR - Financial Statement Quarter 2/2023 (holding company)
AGME,Annual General Meeting,ABR - Holds 2023 AGM
KQQY,Quarterly results,ABR - Financial Statement Quarter 3/2022 (holding company)
AGME,Annual General Meeting,ABR - Holds 2022 AGM
MOVE,Exchange Switching,ABR - Officially lists shares on HOSE
SUSP,Listing Suspension,ABR - Cancels registration on UPCoM
AGME,Annual General Meeting,ABR - Holds 2021 AGM
AGME,Annual General Meeting,ABR - Holds 2020 AGM
AIS,Additional Listing,"ABR - Registers 17,000,000 additional shares"
EGME,Extraordinary General Meeting,ABR - Holds extra-ordinary shareholders' meeting
AGME,Annual General Meeting,ABR - Holds 2019 AGM
NLIS,New listing,ABR - Officially registers shares on UPCOM
AGME,Annual General Meeting,ABR-Holds 2018 AGM
AGME,Annual General Meeting,ABR-Holds 2017 AGM
AGME,Annual General Meeting,ABS - Holds 2023 AGM
DIV,Cash Dividend,ABS - Pay cash dividend 2021 - Year at VND 500/share
AGME,Annual General Meeting,ABS - Holds 2022 AGM
DIV,Cash Dividend,"ABS - Pays Year, 2020 cash dividend at VND500/share"
AGME,Annual General Meeting,ABS - Holds 2021 AGM
AIS,Additional Listing,"ABS - Lists additional 42,560,127 shares"
AIS,Additional Listing,"ABS - Lists additional 8,639,873 shares"
ISS,Share Issue,ABS- Issues dividend shares at 25%
DIV,Cash Dividend,"ABS - Pays Year, 2019 cash dividend at VND500/share"
AGME,Annual General Meeting,ABS - Holds 2020 AGM
NLIS,New listing,ABS - Officially lists shares on HNX
DIV,Cash Dividend,ABT - Pay cash dividend 2023 - Interim 1 at VND 500/share
DIV,Cash Dividend,ABT - Pay cash dividend 2022 - Interim 1 at VND 2000/share
AGME,Annual General Meeting,ABT - Holds 2023 AGM
DIV,Cash Dividend,ABT - Pay cash dividend 2021 - Interim 2 at VND 1000/share
AIS,Additional Listing,"ABT- Lists additional 280,000 shares"
AGME,Annual General Meeting,ABT - Holds 2022 AGM
DIV,Cash Dividend,"ABT - Pays Interim 1, 2021 cash dividend at VND1000/share"
MOVE,Exchange Switching,ABT - Returns listing to HOSE
SUSP,Listing Suspension,ABT - Last trading date on HNX to return listing on HOSE
MOVE,Exchange Switching,ABT- Shifts listing to HNX
SUSP,Listing Suspension,ABT - Shifts listing to HNX
AGME,Annual General Meeting,ABT - Holds 2021 AGM
DIV,Cash Dividend,"ABT - Pays Interim 1, 2020 cash dividend at VND1000/share"
AGME,Annual General Meeting,ABT - Holds 2020 AGM
DIV,Cash Dividend,"ABT - Pays Interim 2, 2019 cash dividend at VND1000/share"
DIV,Cash Dividend,"ABT - Pays Interim 1, 2019 cash dividend at VND2000/share"
AGME,Annual General Meeting,ABT - Holds 2019 AGM
DIV,Cash Dividend,"ABT - Pays Interim 2, 2018 cash dividend at VND2000/share"
DIV,Cash Dividend,"ABT - Pays Interim 1, 2018 cash dividend at VND3000/share"
AGME,Annual General Meeting,ABT-Holds 2018 AGM
BOME,BOD Meeting,"ABT-BoD's resolution dated March 02, 2018"
DIV,Cash Dividend,"ABT-Pays Interim 2, 2017 cash dividend at VND1000/share"
BOME,BOD Meeting,"ABT-BoD's resolution dated January 12, 2018"
BCHA,Key Personnel Change,"ABT-Dismisses Mr. Phan Ngoc Son from the position of Deputy CEO from December 15, 2017"
BOME,BOD Meeting,"ABT-BoD's resolution dated November 13, 2017"
DIV,Cash Dividend,ABT-Pays 1st 2017 cash dividend at the rate of 10%
BOME,BOD Meeting,"ABT-BoD's resolution dated June 15, 2017"
BOME,BOD Meeting,"ABT-BoD's resolution dated May 25, 2017"
AGMR,AGM Resolution,ABT- 2017 AGM's resolution
AGME,Annual General Meeting,ABT-Holds 2017 AGM
BOME,BOD Meeting,"ABT-BoD's resolution dated March 2, 2017"
DIV,Cash Dividend,"ABT-Pays 2nd 2016 interim cash dividend at VND2,000/share"
BOME,BOD Meeting,"ABT-BoD's resolution dated January 17, 2017"
BCHA,Key Personnel Change,"ABT-Appoints Mr. Phan Ngoc Son as Deputy CEO from November 1, 2016"
DIV,Cash Dividend,"ABT-Pays 1st 2016 interim cash dividend at VND2,500/share"
BOME,BOD Meeting,"ABT-BoD's resolution dated July 23, 2016"
KQQY,Quarterly results,ABT-Q2/2016 financial statements
AIS,Additional Listing,"ABT-Lists 500,000 additional shares"
AGMR,AGM Resolution,ABT- 2016 AGM's resolution
BCHA,Key Personnel Change,"ABT-Appoints temporarily Mr. Nguyen Trung Anh and Mr. Nguyen Khanh Quynh as Board member from April 4, 2016"
BCHA,Key Personnel Change,ABT-Mr. Le Ba Phuong and Mr. Nguyen Kim Long resign from the positions of board members
BCHA,Key Personnel Change,"ABT-Ms. Vo Thi Thuy Nga and Ms. Dang Thi Bich Lien resign from the position of Control member from April 1, 2016"
DDINS,Director Deal: Institutional transactions,"ABT-Pan Foods Joint Stock Company bought 1,099,999 shares "
DDALL,Director Deal,"ABT-Mr. Le Ba Phuong, board member, sold 203,000 shares "
DDALL,Director Deal,"ABT-Mr. Dang Kiet Tuong, chairman/CEO, sold 100,000 shares "
AGME,Annual General Meeting,ABT-Holds 2016 AGM
DDALL,Director Deal,"ABT-Ms. Nguyen Thi Ngoc Le, chief accountant, sold 47,000 shares "
DDALL,Director Deal,"ABT- Mr. Dang Kiet Tuong, chairman/CEO, registers to sell 100,000 shares"
BOME,BOD Meeting,"ABT-BoD's resolution dated January 16, 2016"
DDINS,Director Deal: Institutional transactions,"ABT-Pan Foods Joint Stock Company rregisters to buy 1,100,000 shares"
DDALL,Director Deal,"ABT-Ms. Nguyen Thi Ngoc Le, Chief accountant, registers to sell 47,000 shares"
DIV,Cash Dividend,ABT-Pays 4th 2015 interim cash dividend at VND700/share
BOME,BOD Meeting,"ABT-BoD's resolution dated January 16, 2016."
KQQY,Quarterly results,ABT-Q4/2015 financial statements
KQQY,Quarterly results,
BOME,BOD Meeting,
BOME,BOD Meeting,
BOME,BOD Meeting,
AGMR,AGM Resolution,
BOME,BOD Meeting,
BCHA,Key Personnel Change,
BCHA,Key Personnel Change,
TS,Treasury Stocks,
BOME,BOD Meeting,
TS,Treasury Stocks,
BCHA,Key Personnel Change,
TS,Treasury Stocks,
TS,Treasury Stocks,
BOME,BOD Meeting,
BOME,BOD Meeting,
BOME,BOD Meeting,
BOME,BOD Meeting,
TS,Treasury Stocks,
BOME,BOD Meeting,
BOME,BOD Meeting,
BOME,BOD Meeting,
BCHA,Key Personnel Change,
BOME,BOD Meeting,
BOME,BOD Meeting,
BOME,BOD Meeting,
BOME,BOD Meeting,
BOME,BOD Meeting,
BOME,BOD Meeting,
BOME,BOD Meeting,
TS,Treasury Stocks,
BOME,BOD Meeting,
TS,Treasury Stocks,
BOME,BOD Meeting,
BCHA,Key Personnel Change,
BOME,BOD Meeting,
TS,Treasury Stocks,
TS,Treasury Stocks,
BOME,BOD Meeting,
BOME,BOD Meeting,
TS,Treasury Stocks,
TS,Treasury Stocks,
BOME,BOD Meeting,
TS,Treasury Stocks,
BOME,BOD Meeting,
TS,Treasury Stocks,
BOME,BOD Meeting,
BOME,BOD Meeting,
BOME,BOD Meeting,
TS,Treasury Stocks,
BOME,BOD Meeting,
AIS,Additional Listing,
BOME,BOD Meeting,
KQQY,Quarterly results,
BOME,BOD Meeting,
KQCT,Final Annual Results,
KQQY,Quarterly results,
BCHA,Key Personnel Change,
KQCT,Final Annual Results,
NLIS,New listing,ABW - Officially registers on Upcom Stock Exchange
AGME,Annual General Meeting,ABW - Holds 2023 AGM
BCHA,Key Personnel Change,"ABSC-Dismisses Ms. Nguyen Thi Khanh from the position of Deputy CEO from July 01, 2017"
BCHA,Key Personnel Change,"ABSC-Appoints Ms. Ta Thi Hong Ha as Information disclosure officer in replacement for Ms. Nguyen Thi Khanh from July 01, 2017"
AIS,Additional Listing,"ACB- Lists additional 506,615,264 shares"
DIV,Cash Dividend,ACB - Pay cash dividend 2022 - Year at VND 1000/share
ISS,Share Issue,ACB - Issues dividend shares at 15%
AGME,Annual General Meeting,ACB - Holds 2023 AGM
AIS,Additional Listing,"ACB- Lists additional 675,487,019 shares"
ISS,Share Issue,ACB - Issues dividend shares at 25%
KQCT,Final Annual Results,ACB - Audited Financial Statement FY 2021 (holding company)
AGME,Annual General Meeting,ACB - Holds 2022 AGM
AIS,Additional Listing,"ACB - Lists additional 106,101 shares"
ISS,Share Issue,ACB - Issues dividend shares at 25%
AGME,Annual General Meeting,ACB - Holds 2021 AGM
MOVE,Exchange Switching,ACB- Officially lists shares on HOSE
SUSP,Listing Suspension,ACB - Delists shares from HNX
AIS,Additional Listing,"ACB- Lists additional 498,821,183 shares "
ISS,Share Issue,ACB- Issues dividend shares at 30%
TS,Treasury Stocks,ACB - Sell treasury shares
TS,Treasury Stocks,ACB -  Registration Sell treasury shares
AGME,Annual General Meeting,ACB - Holds 2020 AGM
TS,Treasury Stocks,ACB - Sell treasury shares
AIS,Additional Listing,"ACB - Lists 374,149,539 additional shares"
ISS,Share Issue,ACB-Issues dividend shares at 30%
AGME,Annual General Meeting,ACB - Holds 2019 AGM
AIS,Additional Listing,ACB - Lists 162.673.713  additional shares
ISS,Share Issue,ACB-Issues dividend shares at 15%
AIS,Additional Listing,"ACB - Lists additional 98,590,129 shares"
AGME,Annual General Meeting,ACB-Holds 2018 AGM
ISS,Share Issue,ACB-Issues dividend shares for existing shareholders at the rate of 10%
BOME,BOD Meeting,"ACB-BoD's resolution dated March 09, 2018"
BOME,BOD Meeting,"ACB-BoD's resolution dated February 06, 2018"
KQQY,Quarterly results,ACB-Q4/2017 financial statements (holding company)
BOME,BOD Meeting,"ACB-BoD's resolution dated January 26, 2018"
BOME,BOD Meeting,"ACB-BoD's resolution dated January 12, 2018"
BALLOT,Record date for ballot,ACB-Holds a shareholders' circular ballot
BOME,BOD Meeting,"ACB-BoD's resolution dated December 28, 2017"
BCHA,Key Personnel Change,"ACB-Dismisses Mr. Andrew Colin Vallis from the position of Board member from November 24, 2017"
KQQY,Quarterly results,ACB-Q3/2017 consolidated financial statements
